currentSentence,pred_bert_1760_1900,genre,date,decade,id,pred_bert_1760_1900_human,summary,hybrid_binary,explanation,classification,sentId
"Until his death, my work had been almost that of a machine; I had never any responsibility; afterwards the sense of it, doubled by its exceeding newness, by my peculiar temperament, and by other facts which it is needless now to particularize, yet which passively, if not actively, will always influence a man 's life — never left me for a moment.","[('child', 0.27), ('boy', 0.08), ('slave', 0.07), ('man', 0.06), ('servant', 0.05), ('master', 0.04), ('lifetime', 0.03), ('machine', 0.02), ('father', 0.02), ('clerk', 0.02), ('soldier', 0.01), ('life', 0.01), ('teacher', 0.01), ('day', 0.01), ('god', 0.01), ('mechanic', 0.01), ('cipher', 0.0), ('minister', 0.0), ('household', 0.0), ('son', 0.0)]",Fiction,1861,1860,8218,"{'child': 0.27, 'boy': 0.08, 'slave': 0.07, 'man': 0.06, 'servant': 0.05, 'master': 0.04, 'father': 0.02, 'clerk': 0.02, 'soldier': 0.01, 'life': 0.01, 'teacher': 0.01, 'god': 0.01, 'mechanic': 0.01, 'minister': 0.0, 'son': 0.0}","The sentence describes the narrator's own work as machine-like, projecting mechanical qualities (routine, lack of responsibility) onto a human activity, reflecting technomorphism rather than a mechanical object gaining human traits.",Yes,"'man' refers to human life generally influenced by circumstances, reinforcing the human context being compared to mechanical function; 'a' is a minor article with no independent relevance.",technomorphism,8218
"The sands are alive with company; the bathing machines, like overgrown bandboxes, are drawn up on the shingle, while the "" washed out "" bathing women sit in the sun, beneath the shadows of the ruins that crown the Castle Hill.","[('machines', 0.28), ('women', 0.27), ('men', 0.14), ('girls', 0.07), ('boats', 0.04), ('children', 0.03), ('boys', 0.02), ('parties', 0.01), ('chairs', 0.01), ('babies', 0.01), ('ladies', 0.01), ('vessels', 0.01), ('tables', 0.01), ('horses', 0.0), ('dresses', 0.0), ('baskets', 0.0), ('people', 0.0), ('booths', 0.0), ('costumes', 0.0), ('infants', 0.0)]",Non-fiction,1860,1860,16411,"{'women': 0.27, 'men': 0.14, 'girls': 0.07, 'children': 0.03, 'boys': 0.02, 'ladies': 0.01, 'people': 0.0}","The sentence contrasts lively, human sands with inert bathing machines compared to bandboxes; no interpenetration of mechanical and living registers occurs — machines remain objects, humans remain human.",No,"Women' refers to tired bathers, described in human, not mechanical terms; 'bathing' modifies both women and machines but doesn't blend registers; 'bandboxes' is a simile comparing machines to ordinary objects, not alive.",neutral,16411
And you shall have the satisfaction of knowing that you are helping to make men instead of machines.,"[('women', 0.17), ('children', 0.1), ('fools', 0.06), ('boys', 0.06), ('them', 0.06), ('gods', 0.05), ('me', 0.05), ('animals', 0.04), ('things', 0.03), ('money', 0.03), ('machines', 0.02), ('god', 0.02), ('nothing', 0.02), ('men', 0.02), ('beasts', 0.02), ('themselves', 0.01), ('angels', 0.01), ('you', 0.01), ('devils', 0.01), ('dogs', 0.01)]",Fiction,1883,1880,27,"{'women': 0.17, 'children': 0.1, 'fools': 0.06, 'boys': 0.06, 'them': 0.06, 'gods': 0.05, 'god': 0.02, 'men': 0.02, 'themselves': 0.01, 'angels': 0.01, 'you': 0.01, 'devils': 0.01}","The sentence explicitly contrasts 'men' with 'machines' as opposing categories, framing human development as distinct from mechanical production, reinforcing a binary rather than hybrid or interpenetrating relationship between the two registers.",No,"'men' and 'machines' are set in direct opposition, not blended; 'you' refers to human agency separate from mechanical processes; 'that' introduces the clarifying contrast; '.' closes the oppositional statement without merging registers.",neutral,27
"Each roll contains as much as four miles, for those papers worked by the Walter press; for others, a machine unwinds it from the roll, and cuts it into the proper size, at the rate of two hundred per minute.","[('man', 0.32), ('person', 0.1), ('boy', 0.09), ('hand', 0.08), ('roller', 0.04), ('machine', 0.03), ('lad', 0.02), ('press', 0.01), ('printer', 0.01), ('chain', 0.01), ('line', 0.01), ('weaver', 0.01), ('master', 0.01), ('woman', 0.01), ('porter', 0.01), ('foreman', 0.0), ('gentleman', 0.0), ('smith', 0.0), ('painter', 0.0), ('sheet', 0.0)]",Non-fiction,1877,1870,16414,"{'man': 0.32, 'person': 0.1, 'boy': 0.09, 'hand': 0.08, 'lad': 0.02, 'weaver': 0.01, 'master': 0.01, 'woman': 0.01, 'foreman': 0.0, 'gentleman': 0.0, 'painter': 0.0}","The sentence describes a machine's mechanical function (unwinding, cutting paper) in purely technical, quantitative terms without attributing feeling or vitality, nor describing humans mechanically.",No,"‘Unwinds’ suggests motion but is a neutral mechanical descriptor, not implying agency or life. ‘Roll’ and ‘a’ are neutral technical terms referring to paper stock, unrelated to hybridization of registers.",neutral,16414
Are you still in the stage of regarding men merely as dancing machines?,"[('men', 0.39), ('girls', 0.06), ('people', 0.06), ('women', 0.05), ('machines', 0.04), ('fellows', 0.03), ('players', 0.03), ('companions', 0.02), ('animals', 0.02), ('fools', 0.02), ('gentlemen', 0.02), ('beings', 0.01), ('folk', 0.01), ('masters', 0.01), ('things', 0.01), ('subjects', 0.01), ('boys', 0.01), ('gods', 0.01), ('parties', 0.0), ('children', 0.0)]",Fiction,1891,1890,8222,"{'men': 0.39, 'girls': 0.06, 'people': 0.06, 'women': 0.05, 'fellows': 0.03, 'fools': 0.02, 'gentlemen': 0.02, 'beings': 0.01, 'masters': 0.01, 'subjects': 0.01, 'boys': 0.01, 'gods': 0.01, 'children': 0.0}","The sentence describes men as 'dancing machines,' reducing human beings to mechanical function, which reflects a hybrid understanding by merging human and machine registers through technomorphism.",Yes,"men: subject reduced to machine metaphor; dancing: human activity framed as mechanical repetition; machines: explicit mechanical term applied to humans; of: connects 'stage' to the machine metaphor; are, ?: structural, not directly relevant.",technomorphism,8222
"It is he who interests him self in the welfare of his compatriots : I, you understand — I am but a machine.","[('child', 0.09), ('minor', 0.08), ('priest', 0.06), ('man', 0.05), ('minister', 0.05), ('boy', 0.04), ('clergyman', 0.04), ('servant', 0.03), ('shadow', 0.02), ('stranger', 0.02), ('slave', 0.02), ('soldier', 0.01), ('peasant', 0.01), ('clerk', 0.01), ('lad', 0.01), ('subordinate', 0.01), ('relative', 0.01), ('minority', 0.01), ('few', 0.01), ('father', 0.01)]",Fiction,1881,1880,8227,"{'child': 0.09, 'priest': 0.06, 'man': 0.05, 'minister': 0.05, 'boy': 0.04, 'servant': 0.03, 'stranger': 0.02, 'slave': 0.02, 'soldier': 0.01, 'peasant': 0.01, 'clerk': 0.01, 'lad': 0.01, 'father': 0.01}","The speaker describes himself as 'but a machine,' denying personal agency and contrasting himself with the compassionate 'he.' This projects mechanical qualities onto a human, exemplifying technomorphism and hybrid interpenetration of registers.",Yes,"'he' and 'self' denote human agency and identity, contrasted with 'I am but a machine,' showing a human described mechanically. 'a' and 'but' are minor connectors with no independent relevance; '.' marks sentence closure.",technomorphism,8227
"The tobacco leaves are cut into hchra or thread, which we call "" long cut, "" and the whole process of making is done by a Bingle machine.","[('process', 0.11), ('man', 0.09), ('machine', 0.05), ('factory', 0.04), ('boy', 0.03), ('maker', 0.03), ('smith', 0.03), ('gang', 0.02), ('worker', 0.02), ('weaver', 0.02), ('company', 0.02), ('band', 0.01), ('hand', 0.01), ('men', 0.01), ('press', 0.01), ('manufacturer', 0.01), ('woman', 0.01), ('furnace', 0.01), ('potter', 0.01), ('##man', 0.01)]",Non-fiction,1895,1890,8249,"{'man': 0.09, 'boy': 0.03, 'maker': 0.03, 'worker': 0.02, 'weaver': 0.02, 'hand': 0.01, 'men': 0.01, 'manufacturer': 0.01, 'woman': 0.01, '##man': 0.01}","The sentence simply describes a mechanical manufacturing process without attributing human traits to the machine or mechanical traits to humans, so no hybridity is present.",No,"None of the listed words ('a, bingle, done, making, ., ,, call, by, which, is, thread, are') attribute feeling, will, or vitality to the machine, nor mechanical qualities to humans; they are purely descriptive/functional terms in a factual process description.",neutral,8249
""" Now, sir !"" cried the young gentleman who officiated as "" cad "" to the "" Lads of the village, "" wlrich was the name of the machine just noticed.","[('lad', 0.18), ('one', 0.09), ('boy', 0.09), ('person', 0.09), ('man', 0.09), ('individual', 0.06), ('gentleman', 0.05), ('policeman', 0.05), ('officer', 0.02), ('party', 0.02), ('class', 0.02), ('crowd', 0.01), ('omnibus', 0.01), ('youth', 0.01), ('cad', 0.01), ('group', 0.01), ('fellow', 0.01), ('thing', 0.0), ('two', 0.0), ('girl', 0.0)]",Fiction,1845,1840,16444,"{'lad': 0.18, 'boy': 0.09, 'person': 0.09, 'man': 0.09, 'individual': 0.06, 'gentleman': 0.05, 'officer': 0.02, 'crowd': 0.01, 'youth': 0.01, 'fellow': 0.01, 'girl': 0.0}",The sentence merely names a stagecoach ('the machine') called 'Lads of the village' and describes a human 'cad' shouting; no blending of mechanical and living/emotional registers occurs.,No,"{'young': ""Describes the human cad's age, irrelevant to machine description."", 'gentleman': 'Refers to the human character, not the machine.', ',': 'Punctuation, no semantic content.', 'the': 'Article, no semantic weight.', 'just': 'Temporal marker referring to when the machine was mentioned, not descriptive of it.', 'noticed': 'Refers to the machine being previously mentioned, not given living/emotional qualities.'}",neutral,16444
"Miss Fazackerly was the finish ing machine who had been at work on Alice and Audrey, and certain facts con nected with her employer 's affairs deter mined that very intelligent person to seek fresh fields and pastures new for cul ture. 217 ELIZABETH EDEN.","[('woman', 0.29), ('person', 0.13), ('girl', 0.1), ('hand', 0.08), ('lady', 0.05), ('##ress', 0.02), ('maid', 0.02), ('mistress', 0.02), ('servant', 0.01), (',', 0.01), ('mason', 0.01), ('agent', 0.01), ('artist', 0.01), ('sister', 0.01), ('party', 0.01), ('worker', 0.01), ('##woman', 0.01), ('female', 0.01), ('housekeeper', 0.01), ('spirit', 0.01)]",Fiction,1878,1870,61,"{'woman': 0.29, 'person': 0.13, 'girl': 0.1, 'hand': 0.08, 'lady': 0.05, 'maid': 0.02, 'mistress': 0.02, 'servant': 0.01, 'agent': 0.01, 'artist': 0.01, 'sister': 0.01, 'worker': 0.01, 'female': 0.01, 'spirit': 0.01}","Miss Fazackerly, a person, is metaphorically called a 'finishing machine,' blending human identity with mechanical function, showing hybridity through technomorphic description of a human as machine-like.",Yes,"'who' refers to Miss Fazackerly, a human person, directly linked to the machine metaphor ('finishing machine'), reinforcing that a human is being described in mechanical terms, blending living and mechanical registers.",technomorphism,61
"Sewing machines had not yet come in response to the "" Song of the Shirt "" and the wail of the women.","[('machines', 0.19), ('girls', 0.08), ('women', 0.04), ('schools', 0.03), ('classes', 0.02), ('men', 0.02), ('cotton', 0.02), ('jenny', 0.02), ('conventions', 0.01), ('people', 0.01), ('factories', 0.01), ('dresses', 0.01), ('day', 0.01), ('weaving', 0.01), ('unions', 0.01), ('fields', 0.01), ('machine', 0.01), ('children', 0.01), ('industries', 0.01), ('lowell', 0.01)]",Non-fiction,1886,1880,16449,"{'girls': 0.08, 'women': 0.04, 'classes': 0.02, 'men': 0.02, 'people': 0.01, 'children': 0.01}","The sentence describes sewing machines as arriving 'in response to' human suffering, subtly attributing responsive agency to machines while linking them to emotional human labor conditions, suggesting a hybrid framing.",Yes,"{'sewing': 'Refers to the machine itself, central subject linked to human suffering context.', 'women': 'Represents the human/emotional register tied to labor and suffering.', 'in': ""Part of the phrase 'in response to', implying machine agency or reactive behavior."", 'shirt': ""References the 'Song of the Shirt', a poem about human suffering tied to sewing labor."", '""': 'Marks the quoted poem title, linking cultural/emotional reference to machines.', 'response': 'Implies the machine acts or arrives reactively, a subtle anthropomorphic framing.', 'wail': ""Represents emotional human expression connected contextually to mechanical labor's cause.""}",anthropomorphism,16449
""" Do you think so; do you really think a man ought never to sigh for relaxation, for pleasure, for innocent pleasure, or do you think I am constituted differently from other men and am only a machine?","[('woman', 0.26), ('man', 0.25), ('child', 0.11), ('boy', 0.08), ('brute', 0.04), ('girl', 0.03), ('butterfly', 0.03), ('fool', 0.02), ('creature', 0.01), ('machine', 0.01), ('poet', 0.01), ('philosopher', 0.01), ('dreamer', 0.0), ('gentleman', 0.0), ('spectator', 0.0), ('lad', 0.0), ('shadow', 0.0), ('dog', 0.0), ('person', 0.0), ('beast', 0.0)]",Fiction,1885,1880,16451,"{'woman': 0.26, 'man': 0.25, 'child': 0.11, 'boy': 0.08, 'brute': 0.04, 'girl': 0.03, 'fool': 0.02, 'creature': 0.01, 'poet': 0.01, 'philosopher': 0.01, 'dreamer': 0.0, 'gentleman': 0.0, 'spectator': 0.0, 'lad': 0.0, 'person': 0.0}","The speaker questions whether he is merely a machine rather than a man capable of desiring pleasure, blending mechanical and human/emotional registers to express frustration at being treated as unfeeling.",Yes,"'Man' contrasts with 'machine,' highlighting human capacity for feeling; 'a' (in 'a machine') frames the self as a mechanical object, merging human emotional need with mechanical identity, creating hybridity.",technomorphism,16451
"LOUIS TO DENVER 49 machinery, then labe Uing it, by the hands of little boys who were nearly as quick as the machines; a lift took us up to a height commanding the town and river, and their own works, extending over a hundred and sixty acres, and employing two thousand two hundred hands; and on this floor were the enormous vats of burnished copper for making the beer; but a U on mosaic floors, and more like show than work, being so very bright and polished and decorated.","[('men', 0.23), ('horses', 0.13), ('boys', 0.05), ('others', 0.04), ('rest', 0.03), ('girls', 0.02), ('children', 0.02), ('man', 0.02), ('horse', 0.02), ('needle', 0.01), ('mule', 0.01), ('fingers', 0.01), ('runners', 0.01), ('wind', 0.01), ('cat', 0.01), ('women', 0.01), ('dogs', 0.01), ('clock', 0.01), ('engine', 0.01), ('machine', 0.01)]",Non-fiction,1895,1890,16452,"{'men': 0.23, 'boys': 0.05, 'others': 0.04, 'girls': 0.02, 'children': 0.02, 'man': 0.02, 'women': 0.01}","The sentence compares boys' quickness to machines, blending human and mechanical registers, suggesting a technomorphic description rather than a strict opposition between living and mechanical worlds.",Yes,"‘Boys’ are compared to machines via ‘as,’ merging human and mechanical qualities. ‘Work’ reflects labor context tying humans to mechanical processes. ‘The’ is neutral, non-contributory.",technomorphism,16452
It is not every man who can be thus changed into a slave and a praying machine.,"[('slave', 0.19), ('priest', 0.12), ('woman', 0.07), ('monk', 0.06), ('child', 0.06), ('friar', 0.05), ('man', 0.05), ('saint', 0.02), ('##gar', 0.02), ('mass', 0.02), ('nun', 0.02), ('girl', 0.01), ('father', 0.01), ('master', 0.01), ('devil', 0.01), ('hermit', 0.01), ('god', 0.01), ('idiot', 0.01), ('christian', 0.01), ('boy', 0.01)]",Non-fiction,1894,1890,68,"{'slave': 0.19, 'priest': 0.12, 'woman': 0.07, 'child': 0.06, 'man': 0.05, 'girl': 0.01, 'father': 0.01, 'master': 0.01, 'devil': 0.01, 'god': 0.01, 'idiot': 0.01, 'christian': 0.01, 'boy': 0.01}","The sentence describes a man being reduced to a 'praying machine,' projecting mechanical, repetitive qualities onto a human being, reflecting a hybrid blending of human and mechanical registers.",Yes,"'man' and 'slave' denote a human reduced in agency; 'praying machine' fuses human ritual (praying) with mechanical repetition; 'who' and 'a' are grammatical, not directly relevant.",technomorphism,68
But to be smashed up by an idiotic machine like that!,"[('fellow', 0.13), ('creature', 0.08), ('idiot', 0.08), ('animal', 0.05), ('boy', 0.05), ('thing', 0.04), ('beast', 0.03), ('horse', 0.03), ('man', 0.02), ('child', 0.02), ('girl', 0.02), ('ass', 0.01), ('brute', 0.01), ('laugh', 0.01), ('woman', 0.01), ('donkey', 0.01), ('freak', 0.01), ('person', 0.01), ('nonsense', 0.01), ('machine', 0.01)]",Fiction,1895,1890,8264,"{'fellow': 0.13, 'creature': 0.08, 'idiot': 0.08, 'boy': 0.05, 'man': 0.02, 'child': 0.02, 'girl': 0.02, 'brute': 0.01, 'woman': 0.01, 'person': 0.01}","The sentence describes a machine as 'idiotic,' attributing a human-like quality (stupidity) to it, reflecting a hybrid understanding where mechanical and emotional/human registers interpenetrate.",Yes,"'idiotic' projects a human cognitive trait onto the machine, making it central to the anthropomorphism. 'smashed up' and 'by' describe the violent action involving the machine, reinforcing its agency-like role. '!', 'like', 'that', 'up', 'be' are structural/expressive but not directly relevant to the hybridity.",anthropomorphism,8264
