summary,hybrid_binary,explanation,classification,sentId
"The sentence describes the narrator's own work as machine-like, projecting mechanical qualities (routine, lack of responsibility) onto a human activity, reflecting technomorphism rather than a mechanical object gaining human traits.",Yes,"'man' refers to human life generally influenced by circumstances, reinforcing the human context being compared to mechanical function; 'a' is a minor article with no independent relevance.",technomorphism,8218
"The sentence contrasts lively, human sands with inert bathing machines compared to bandboxes; no interpenetration of mechanical and living registers occurs — machines remain objects, humans remain human.",No,"Women' refers to tired bathers, described in human, not mechanical terms; 'bathing' modifies both women and machines but doesn't blend registers; 'bandboxes' is a simile comparing machines to ordinary objects, not alive.",neutral,16411
"The sentence explicitly contrasts 'men' with 'machines' as opposing categories, framing human development as distinct from mechanical production, reinforcing a binary rather than hybrid or interpenetrating relationship between the two registers.",No,"'men' and 'machines' are set in direct opposition, not blended; 'you' refers to human agency separate from mechanical processes; 'that' introduces the clarifying contrast; '.' closes the oppositional statement without merging registers.",neutral,27
"The sentence describes a machine's mechanical function (unwinding, cutting paper) in purely technical, quantitative terms without attributing feeling or vitality, nor describing humans mechanically.",No,"‘Unwinds’ suggests motion but is a neutral mechanical descriptor, not implying agency or life. ‘Roll’ and ‘a’ are neutral technical terms referring to paper stock, unrelated to hybridization of registers.",neutral,16414
"The sentence describes men as 'dancing machines,' reducing human beings to mechanical function, which reflects a hybrid understanding by merging human and machine registers through technomorphism.",Yes,"men: subject reduced to machine metaphor; dancing: human activity framed as mechanical repetition; machines: explicit mechanical term applied to humans; of: connects 'stage' to the machine metaphor; are, ?: structural, not directly relevant.",technomorphism,8222
"The speaker describes himself as 'but a machine,' denying personal agency and contrasting himself with the compassionate 'he.' This projects mechanical qualities onto a human, exemplifying technomorphism and hybrid interpenetration of registers.",Yes,"'he' and 'self' denote human agency and identity, contrasted with 'I am but a machine,' showing a human described mechanically. 'a' and 'but' are minor connectors with no independent relevance; '.' marks sentence closure.",technomorphism,8227
"The sentence simply describes a mechanical manufacturing process without attributing human traits to the machine or mechanical traits to humans, so no hybridity is present.",No,"None of the listed words ('a, bingle, done, making, ., ,, call, by, which, is, thread, are') attribute feeling, will, or vitality to the machine, nor mechanical qualities to humans; they are purely descriptive/functional terms in a factual process description.",neutral,8249
The sentence merely names a stagecoach ('the machine') called 'Lads of the village' and describes a human 'cad' shouting; no blending of mechanical and living/emotional registers occurs.,No,"{'young': ""Describes the human cad's age, irrelevant to machine description."", 'gentleman': 'Refers to the human character, not the machine.', ',': 'Punctuation, no semantic content.', 'the': 'Article, no semantic weight.', 'just': 'Temporal marker referring to when the machine was mentioned, not descriptive of it.', 'noticed': 'Refers to the machine being previously mentioned, not given living/emotional qualities.'}",neutral,16444
"Miss Fazackerly, a person, is metaphorically called a 'finishing machine,' blending human identity with mechanical function, showing hybridity through technomorphic description of a human as machine-like.",Yes,"'who' refers to Miss Fazackerly, a human person, directly linked to the machine metaphor ('finishing machine'), reinforcing that a human is being described in mechanical terms, blending living and mechanical registers.",technomorphism,61
"The sentence describes sewing machines as arriving 'in response to' human suffering, subtly attributing responsive agency to machines while linking them to emotional human labor conditions, suggesting a hybrid framing.",Yes,"{'sewing': 'Refers to the machine itself, central subject linked to human suffering context.', 'women': 'Represents the human/emotional register tied to labor and suffering.', 'in': ""Part of the phrase 'in response to', implying machine agency or reactive behavior."", 'shirt': ""References the 'Song of the Shirt', a poem about human suffering tied to sewing labor."", '""': 'Marks the quoted poem title, linking cultural/emotional reference to machines.', 'response': 'Implies the machine acts or arrives reactively, a subtle anthropomorphic framing.', 'wail': ""Represents emotional human expression connected contextually to mechanical labor's cause.""}",anthropomorphism,16449
"The speaker questions whether he is merely a machine rather than a man capable of desiring pleasure, blending mechanical and human/emotional registers to express frustration at being treated as unfeeling.",Yes,"'Man' contrasts with 'machine,' highlighting human capacity for feeling; 'a' (in 'a machine') frames the self as a mechanical object, merging human emotional need with mechanical identity, creating hybridity.",technomorphism,16451
"The sentence compares boys' quickness to machines, blending human and mechanical registers, suggesting a technomorphic description rather than a strict opposition between living and mechanical worlds.",Yes,"‘Boys’ are compared to machines via ‘as,’ merging human and mechanical qualities. ‘Work’ reflects labor context tying humans to mechanical processes. ‘The’ is neutral, non-contributory.",technomorphism,16452
"The sentence describes a man being reduced to a 'praying machine,' projecting mechanical, repetitive qualities onto a human being, reflecting a hybrid blending of human and mechanical registers.",Yes,"'man' and 'slave' denote a human reduced in agency; 'praying machine' fuses human ritual (praying) with mechanical repetition; 'who' and 'a' are grammatical, not directly relevant.",technomorphism,68
"The sentence describes a machine as 'idiotic,' attributing a human-like quality (stupidity) to it, reflecting a hybrid understanding where mechanical and emotional/human registers interpenetrate.",Yes,"'idiotic' projects a human cognitive trait onto the machine, making it central to the anthropomorphism. 'smashed up' and 'by' describe the violent action involving the machine, reinforcing its agency-like role. '!', 'like', 'that', 'up', 'be' are structural/expressive but not directly relevant to the hybridity.",anthropomorphism,8264
"The sentence describes Leo, a human, as 'a machine' with 'no life' in his performance, blending mechanical and living registers by projecting machine-like qualities onto a person.",Yes,"{'part': ""Refers to Leo's performance role, the site where mechanical/lifeless quality is criticized."", 'a': ""Part of the phrase 'a machine', directly labeling Leo mechanically."", 'life': 'Signals the living/emotional register that is said to be missing, contrasting with mechanical performance.', 'stupid': 'Describes the dull, lifeless quality of the performance, reinforcing the mechanical framing of a human trait.'}",technomorphism,72
"The sentence uses 'machine' as a byword for heartlessness, reinforcing the opposition between mechanical (feelingless) and human (loving) registers rather than blending them.",No,"{'terrible': ""Describes the shocking human 'end', unrelated to machine comparison."", 'a': ""Part of comparative phrase 'no more heart than a machine', marking the contrast."", 'than': 'Key comparative word setting machine as the standard of heartlessness.', 'more': 'Used to negate feeling, emphasizing lack of heart equal to a machine.', 'one': ""Refers to 'his end', not tied to mechanical/human blending."", 'heart': ""Central term; his lack of heart is likened to a machine's inherent heartlessness."", 'end': 'Refers to his death/fate, not mechanical framing.'}",technomorphism,16462
"The sentence contrasts working 'as a machine' with working 'as an intelligent artist,' opposing mechanical and human registers rather than blending them, since the machine comparison is explicitly rejected in favor of human agency and creativity.",No,"{'artist': 'Represents human creativity and agency, explicitly opposed to machine-like labor, reinforcing separation rather than hybridity.', 'a': ""Functions grammatically in 'as a machine,' marking the comparison being rejected, not itself meaningful to hybridity."", 'day': 'Refers to the work period; neutral term not contributing to man/machine blending.', 'intelligent': 'Human quality attributed to the worker, contrasting with mechanical repetition, emphasizing opposition not interpenetration.', 'he': 'Refers to the human subject who is described as moving away from machine-like behavior toward intelligent artistry.'}",technomorphism,78
"The machine is depicted as purposefully placing screws so none are overlooked, attributing careful, deliberate agency—a human-like trait—to mechanical action, blending mechanical and human registers.",Yes,"‘so’ introduces purpose clause implying intent; ‘sight’ suggests perceptual care, both anthropomorphizing the machine’s action. ‘barrels’ and ‘precedes’ describe mechanical process neutrally. ‘a’, ‘screw’, ‘,’ are structural/object terms without inherent agency.",anthropomorphism,16468
"This sentence is a technical explanation of Japanese pronunciation rules using English phonetic examples. It contains no reference to machines, feeling, or vitality, so no hybrid understanding is present.",No,"The words 'father, bone, men, tune, prey, as, in' are used purely as phonetic reference points for pronunciation, not as metaphors involving machines or living beings. The period simply ends a technical sentence.",neutral,16469
"This sentence is a technical explanation of Japanese pronunciation rules using English reference words. It contains no mechanical or living/emotional imagery, so no hybrid understanding of machines is present.",No,"The listed words (father, bone, in, men, prey, as, tune) are simply pronunciation reference examples for vowel sounds, not related to machines, vitality, or mechanical description in any way.",neutral,16473
"The sentence attributes popularity to machines by association with their operator, Martha Gunn, rather than granting the machines themselves human traits. No blending of mechanical and living registers occurs.",No,"{'most': 'Indicates degree of demand, not relevant to hybridity', 'were': 'Auxiliary verb, structural only', 'always': 'Indicates constancy of popularity, not hybrid', 'request': ""Refers to demand for machines, but tied to Martha's popularity, not machine agency"", 'in': 'Preposition, structural only', 'bathers': 'Human users of the machines, not blended with mechanical traits', ',': 'Punctuation, no semantic relevance', 'the': 'Article, structural only', 'she': 'Refers to Martha Gunn, a human, not a machine descriptor'}",neutral,96
"The sentence explicitly denies that the human mind is a machine, asserting separation between mechanical and mental/human registers rather than blending them into interpenetration.",No,"{'hand': 'Refers to control/agency of mother, not mechanical.', 'mother': ""Human role, used to argue mind's independence from mechanism."", 'human': ""Central term opposing 'machine', asserting human distinctiveness."", 'no': 'Negates the machine comparison, reinforcing opposition.', 'so': 'Continues negation, reinforcing separation of registers.', 'mere': ""Diminishes 'machine', stressing human mind's superiority."", 'dear': 'Polite address, no register relevance.', 'in': 'Structural word, no register relevance.', 'less': 'Comparative reinforcing negation of mechanical analogy.', '—': 'Punctuation marking rhetorical pause, no semantic role.', 'her': ""Refers to subject's actions, human agency emphasized."", 'lady': 'Polite address, no register relevance.', 'mind': ""Key term contrasted with 'machine', reinforcing opposition."", 'still': ""Emphasizes degree of negation ('still less so')."", 'governess': 'Human role compared to mother, extending the human argument.', 'suppose': 'Rhetorical verb inviting agreement with the negation.', 'you': 'Addressed listener, no register relevance.'}",neutral,100
"The sentence describes human labor as 'beast like, machine like, slavish,' blending organic (beast, plant) and mechanical registers to depict degraded, forced human labor, showing interpenetration of living and mechanical qualities.",Yes,"'Beast' and 'plant' evoke organic/living registers, while 'like' links them equivalently to 'machine,' merging living and mechanical qualities into one description of human labor, exemplifying hybridity.",technomorphism,8307
"The sentence describes men, women, and children as mere machines of the State, projecting mechanical qualities (function, lack of agency) onto humans, reflecting a hybrid, technomorphic understanding rather than a strict opposition between mechanical and living registers.",Yes,"'Man' is directly equated with 'the machine of the State,' illustrating technomorphism by describing a human in mechanical terms, emphasizing function and lack of individual agency rather than vitality or feeling.",technomorphism,8308
"The sentence presents 'the State' desiring humans to function as machines, reducing people to mere mechanical instruments. This is a technomorphic reduction, not a hybrid blending—it opposes machine-like function to human vitality, implying loss rather than interpenetration.",No,"{'the': ""Refers to 'the State' as an abstract authority that desires mechanical compliance from people, not relevant to hybridity itself."", 'state': 'Acts as an agent desiring machine-like humans; frames power as demanding reduction of people to function, reinforcing opposition rather than blending.', 'wants': 'Indicates desire attributed to an abstraction (the State), suggesting a will imposing mechanization on humans.', 'machines': 'Central term; humans are equated with machines, indicating technomorphic reduction rather than hybrid vitality.', ':': 'Introduces the stark reductive claim, emphasizing finality and starkness of the reduction.', 'that': 'Refers back to the idea of wanting machines, reinforcing the totalizing claim.', 'is': ""Copula asserting equivalence between what the State wants and 'machines', emphasizing reduction."", 'all': 'Emphasizes totality and finality — nothing more than mechanical function is desired, reinforcing opposition between human vitality and mechanical existence.'}",technomorphism,8309
"The sentence contrasts human agency/will with being a 'mere machine,' reinforcing opposition rather than blending mechanical and living registers—machines represent lack of will, humans represent volition.",No,"‘man’ and ‘motive’ signal human agency/will; ‘mere machine’ frames mechanism as diminished, will-less state; ‘slavery’ reinforces loss of autonomy—these terms oppose human vitality to mechanical passivity, not blend them.",technomorphism,8310
"The sentence simply describes sharing living space with a machine, likely a sewing machine; no vitality, feeling, or human-like qualities are attributed to it, nor is the person described mechanically.",No,"‘My’ shows possession, treating the machine as a mere object owned by the speaker. ‘For’ indicates purpose/function, not agency. Neither word signals blending of mechanical and living registers.",neutral,8312
"The sentence explicitly denies mechanical devices, substituting human hands for machines, contrasting rather than blending mechanical and living registers—no hybridity present.",No,"‘No’ and ‘were’ negate machines’ presence; ‘sewing, knitting’ name absent machines; ‘deft hands’ emphasizes human skill replacing them, reinforcing opposition, not blending.",neutral,16508
"The sentence describes men moving 'like machines,' projecting mechanical qualities (uniformity, repetition) onto humans, exemplifying technomorphism rather than a hybrid interpenetration of registers.",No,"{'like': 'Signals the simile comparing men to machines, marking the technomorphic projection.', 'men': 'Human subjects who are described in mechanical terms, central to the technomorphic framing.', 'offioers': ""Represent human observers whose 'pride' is an emotional, human reaction, not mechanical."", 'moved': ""Describes the men's motion as mechanical ('like machines'), reinforcing technomorphism."", 'pride': ""A human emotion attributed to the officers, but not merging mechanical and emotional registers—it's purely human sentiment observing mechanical-like men.""}",technomorphism,16511
"The sentence merely describes bathing machines as objects in a scene, with no vitality, feeling, or agency attributed to them, nor are humans described mechanically. No interpenetration of registers occurs.",No,"bathing: modifies 'machines,' a neutral functional term, not evocative of life; at: locational preposition, no relevance; were: simple past tense verb, no agency implied; ;: punctuation, structurally separates clauses, no semantic weight.",neutral,16519
"The sentence explicitly denies humanity, framing the speaker as mechanical rather than living, which reflects a hybrid blending of human and machine registers by describing a person in mechanical terms.",Yes,"‘I’ and ‘man’ denote human identity, while ‘machine’ and ‘was’ assert a mechanical state replacing it; ‘not’ negates human status, showing interpenetration of both registers in describing a person as mechanical.",technomorphism,16520
"The sentence contrasts treating servants like people versus 'mere machines,' invoking a technomorphic comparison (humans reduced to machines) even while rejecting it, thus blending mechanical and emotional/human registers through negation.",Yes,"{'servants': 'Servants are the humans being compared to machines, central to the technomorphic framing.', 'mere': 'Signals dismissive reduction of humans to machine status, key to the technomorphic contrast.', 'people': 'Refers to others who wrongly treat servants as machines, reinforcing the human-machine comparison.'}",technomorphism,8333
"The sentence is a fragmented advertisement for a sewing machine, focusing on pricing and inviting viewers to see it 'at work.' It shows minimal hybridity, with only a slight anthropomorphic hint in describing the machine as working.",No,"'Work' suggests machine activity akin to labor, mildly anthropomorphic, but not strongly emotional/vital. 'The', 'at', 'two', 'see' are functional/structural words without hybrid significance, relating to price listing and invitation to view the machine.",anthropomorphism,8344
"The sentence emphasizes the woman's physical/emotional weakness and heroic action to save an inanimate sewing machine, but does not attribute vitality or agency to the machine itself, nor describe her in mechanical terms.",No,"‘sewing’ refers to the machine treated as a valued object to rescue, not given feeling or will. ‘her’ refers to the woman’s faint, dizzy human experience, described in bodily/emotional, not mechanical, terms.",neutral,8348
"The sentence describes a man controlling a machine (likely a bicycle) alongside a person; the machine is treated as a neutral object being guided, with no vitality or emotional register attributed to it.",No,"Words like 'guided,' 'machine,' and 'along her side' depict a straightforward mechanical action without blending emotional or living qualities into the machine, nor mechanical qualities into 'her.' 'Her' refers to a person treated normally, not technomorphized.",neutral,8349
"The sentence contrasts human treatment with machine treatment, explicitly opposing the two registers rather than blending them; the man is compared to a machine only to highlight lack of consideration, not genuine hybridity.",No,"{'man': 'The human subject who is being compared to a machine, central to the opposition.', 'a': ""Article used in 'a machine', part of the comparison."", 'you': 'Refers to the addressee accused of treating the man poorly.', 'worked': ""Describes the man's labor, emphasizing his human role reduced to mechanical use."", 'been': ""Auxiliary verb forming the hypothetical comparison 'as if he had been a machine.'"", 'had': 'Auxiliary verb indicating past tense, part of the comparison structure.', 'more': 'Used to indicate the comparative lack of consideration.', 'consideration': 'The human quality (care, empathy) that is denied, reinforcing opposition between human feeling and mechanical indifference.', 'he': 'Pronoun referring to the man, the human subject of comparison.', 'for': ""Preposition linking 'consideration' to 'the man,' establishing the relational contrast.""}",technomorphism,158
"Melenda is compared to a machine, emphasizing mechanical repetition and lack of emotional engagement, casting a human in mechanical terms rather than blending vitality into machinery.",No,"‘Worked on like a machine’ frames human labor as mechanical, not machines as living; ‘no notice’ underscores lack of feeling, reinforcing separation rather than interpenetration. Words like 'a', '.', 'at', 'on' are grammatical, not central.",technomorphism,161
"The sentence describes a human girl being turned into a 'machine' for exploitative labor, projecting mechanical qualities (function, lack of agency) onto her, reflecting a hybrid understanding through technomorphism.",Yes,"‘Girl’ and ‘woman’ refer to the human being described in mechanical terms, emphasizing her reduction to a functional device. ‘A’ modifies ‘machine,’ tying human identity directly to mechanical framing, reinforcing the technomorphic blend.",technomorphism,162
"The sentence describes a ball's execution with 'machine like ease,' applying a mechanical quality (smooth, effortless function) to a human social event, blending mechanical and human registers.",Yes,"'machine like ease' applies mechanical smoothness to a human event (the ball), merging mechanical and living registers. 'brilliance' and 'gorgeousness' describe human/social qualities, while 'ease' ties them to machine-like function, creating interpenetration. Other words are structural/neutral.",technomorphism,8355
"The sentence simply describes objects (sewing machine, chair) in a room without attributing vitality or emotion to the machine, or mechanical traits to the human. No hybridity present.",No,"sewing, chair: neutral objects, no feeling attributed; room, in, there, was, and: purely descriptive/spatial; so, form, could, seated: relate to Lucy's human presence/memory, not mechanized; no interpenetration of registers occurs.",neutral,16546
"A human, Melenda, is described as choosing to become a machine, blending human agency and will with mechanical identity, illustrating interpenetration of living and mechanical registers.",Yes,"{'sewing': 'Specifies the type of machine Melenda becomes, grounding the mechanical register.', '.': 'Not relevant.', 'a': 'Not relevant.', 'melenda': 'The human subject who identifies with a machine, showing technomorphic blending.', 'be': 'Indicates identity/becoming, merging human agency with mechanical existence.'}",technomorphism,165
"The sentence factually describes a woman using a sewing machine to make trousers; no vitality or emotion is attributed to the machine, nor is she described in mechanical terms.",No,"Words like 'sewing', 'help', 'machine' simply describe an ordinary tool-use relationship without personifying the machine or mechanizing the woman. 'Avoman', 'single', 'room', 'back', 'a', 'av' are neutral descriptors with no hybrid connotation.",neutral,166
"The sentence merely reports a factual gift of sewing machines to a club; it contains no vitality, feeling, or agency attributed to the machines, nor mechanical description of humans.",No,empty,neutral,167
"The sentence describes a human being made to act like a machine, projecting mechanical qualities (control, function) onto a person, reflecting a hybrid interpenetration of human and mechanical registers.",Yes,‘act’ and ‘like’ signal a comparison of human behavior to machine behavior; ‘appear’ suggests performed agency; ‘a’ is a minor article with little semantic weight; ‘.’ has no bearing on meaning.,technomorphism,8358
"The sentence describes Joyce performing labor mechanically, without pleasure, likening her repetitive, joyless work to that of a machine — a technomorphic depiction rather than a hybrid blending of vitality and mechanism.",No,"‘Like a machine’ frames Joyce’s work as mechanical repetition, while ‘no pleasure’ strips away emotional/human vitality, reinforcing opposition rather than blending. ‘Work’ and ‘her’ relate to the human subject reduced to mechanical terms; ‘a’ is grammatical, not meaningful.",technomorphism,175
"The sentence explicitly rejects the machine comparison, asserting human identity against mechanization. This is an opposition, not an interpenetration, of mechanical and living registers—it denies rather than blends the two.",No,"machine: names the mechanical register being rejected; a: minor grammatical word, not relevant; myself: asserts human selfhood distinct from machine; that: reports internal speech, not directly relevant.",technomorphism,178
"The sentence describes a machine capable of doing 'almost anything,' attributing wondrous, near-agentive capability to it, blending mechanical and vital registers rather than opposing them.",Yes,empty,anthropomorphism,180
"The sentence compares a woman's forced obedience to that of 'a mere machine,' framing human behavior in mechanical terms — a technomorphic description, not a hybrid blending of registers.",No,"'mere' emphasizes reduction of the human to a lesser, mechanical status, reinforcing the human-machine comparison; 'a' introduces the simile ('a mere machine'); 'en' and ';' are OCR artifacts with no semantic relevance.",technomorphism,8376
"The sentence describes machines and men both performing labor (ore removal) in a factual, technical manner, without attributing emotional or living qualities to machines or mechanical qualities to humans.",No,"Words 'men, by' indicate humans and machines performing parallel labor tasks descriptively, not blending emotional/mechanical traits; ',' has no semantic relevance to hybridity.",neutral,197
"The sentence merely reports a factual sequence of actions; 'ingenious' describes the machine's clever design but does not attribute feeling, will, or vitality to it, nor does it describe a human in mechanical terms.",No,"{'upon': 'Neutral preposition indicating location, no bearing on hybridity.', 'genious': 'Describes the machine as cleverly designed, praising craftsmanship rather than attributing life or emotion.', 'left': ""Simple action verb describing the woman's movement, not mechanical or emotional framing."", 'that': 'Demonstrative pronoun, purely grammatical, no relevance.', 'fact': 'Used to emphasize timing of events, no bearing on machine/human blending.', 'study': 'Refers to a room, neutral setting description.', ',': 'Punctuation, no semantic content.'}",neutral,199
"The sentence compares a human worker to a machine ('like a blessed machine'), projecting mechanical qualities—relentless, unfeeling repetition—onto a person, exemplifying technomorphism rather than a true hybrid blending.",No,"'like' signals the simile comparing human to machine; 'blessed' ironically humanizes the machine metaphor while emphasizing endurance; 'day' and 'trial' relate to labor context; 'a' is grammatical, not semantically relevant.",technomorphism,8392
"The sentence merely describes a sewing machine's sound (hum) audible in the house; it does not attribute emotion, will, or vitality to the machine, nor mechanize human behavior.",No,"sewing: refers to the machine itself, neutral; hum: describes mechanical sound, not emotional/vital trait; devoted: refers to the room's dedication, not the machine's feeling; room, was, a, day, b3, those: neutral structural/functional words with no anthropomorphic or technomorphic weight.",neutral,217
"The phrase 'machine hand' refers to a human worker operating a machine, not a hybrid blending of mechanical and emotional registers; no vitality is given to machines nor mechanical traits to humans.",No,"‘New’ modifies ‘machine hand,’ a term for a factory worker; ‘hand’ denotes a laborer, not a literal body part or machine trait. Neither implies interpenetration of mechanical and living registers.",neutral,218
"The sentence lists mundane raffle prizes (sewing machine, perambulator) without attributing feeling or vitality to them, nor describing the woman mechanically. No interpenetration of mechanical and living registers occurs.",No,"{'sewing': 'Refers to a sewing machine as a mere object/prize, not given emotional or vital qualities.', 'prizes': 'Neutral term describing raffle items, no anthropomorphic or technomorphic quality.', 'lator': ""Part of 'perambulator', a machine-like object listed as a prize, no personification present."", 'raffle': 'Refers to the event context, unrelated to human-machine blending.', 'and': 'Conjunction with no semantic bearing on hybridity.', 'she': 'Refers to the human speaker, described normally, not in mechanical terms.', 'perambu': ""Part of 'perambulator', a literal object, not personified."", 'a': 'Article, no semantic content relevant to classification.', 'my': 'Possessive pronoun referring to speaker’s raffle, not relevant to hybridity.', ',': 'Punctuation, no semantic content.', 'day': ""Refers to future time ('some day'), unrelated to machine-human blending."", 'part': ""Refers to speaker's role in conversation, not relevant to hybridity."", ';': 'Punctuation, no semantic content.'}",neutral,16604
"The sentence describes a human colleague as 'a machine,' blending mechanical and emotional registers by attributing both human kindness and machine-like rigidity to her, exemplifying technomorphism through interpenetration of living and mechanical traits.",Yes,"{'nurse': ""Represents a human, caring role, contrasted with 'machine' — highlights the hybrid blending of emotional and mechanical traits."", 'a': 'Article with no semantic weight, not relevant to hybridity.', ',': 'Punctuation, not relevant.', 'and': ""Conjunction linking human qualities ('kind and patient'), not directly relevant but supports listing human traits."", 'her': 'Pronoun referring to the human subject being described mechanically, relevant to technomorphic mapping.', 'kind': ""Human emotional trait attributed to the colleague, contrasted with 'machine', reinforcing hybrid tension between living/emotional and mechanical registers.""}",technomorphism,8413
"The sentence describes a human character as behaving 'like a machine,' passive and mechanical in her actions, exemplifying technomorphism rather than a true hybrid blending of registers.",No,"The words 'a' and 'like' form the simile 'like a machine,' directly mapping mechanical qualities onto the woman's behavior, marking technomorphic projection rather than a fused hybrid register.",technomorphism,8414
"The sentence compares the man's mechanical, automatic action ('as though he were merely a machine') to his human act of prayer, blending mechanical and emotional/spiritual registers in a hybrid way.",Yes,"'a' is not meaningfully relevant; 'dead' signifies the human/emotional context (mourning, prayer) contrasted with the mechanical simile, reinforcing the hybrid interplay between mechanical and emotional/spiritual registers.",technomorphism,8415
"The sentence compares the wife's silent, quiet efficiency to a machine, projecting mechanical qualities onto a human. This is technomorphism, not a hybrid blending, since the machine itself is not depicted with feeling or vitality.",No,‘Wife’ is the human described in mechanical terms; ‘word’ relates to her lack of speech reinforcing machine-like silence; ‘a’ is grammatically neutral and not relevant to the analysis.,technomorphism,16607
"The machine is called a 'pretty little toy,' evoking affection, but it is not attributed feeling, will, or agency—it remains a passive object ('was brought'). No human traits are truly projected onto it, nor is a human described mechanically.",No,"{'her': 'Indicates possession, not hybridity', 'little': 'Diminutive term of affection, not attribution of vitality or agency', 'birthday': ""Marks emotional/social context, but doesn't animate the machine"", 'toy': 'Suggests charm/sentiment but frames machine as inert plaything', 'pretty': 'Aesthetic description, not feeling or agency', 'was': 'Passive construction, machine acted upon, not agentive', 'door': 'Neutral location, no relevance', 'to, by, on, a, ,,': 'Grammatical function words, no bearing on hybridity'}",neutral,8416
